Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.75,0.8125,0.75,0.6071,0.6591,0.6697,0.7225
0.9091,0.0,0.9091,0.9394,0.9117,0.8854,0.8948
0.8182,0.0,0.8182,0.8182,0.8182,0.766,0.766
0.6364,0.0,0.6364,0.5682,0.5818,0.5888,0.6702
0.8182,0.0,0.8182,0.8182,0.8182,0.766,0.766
0.8182,0.0,0.8182,0.9091,0.8182,0.7755,0.8004
0.7273,0.0,0.7273,0.7424,0.7229,0.6526,0.6597
0.6364,0.0,0.6364,0.5909,0.6061,0.5217,0.5275
0.7273,0.0,0.7273,0.7273,0.7273,0.6413,0.6484
0.6364,0.7708,0.6364,0.5273,0.5584,0.5464,0.5853
0.7477,0.1583,0.7477,0.7248,0.7222,0.6813,0.7041
0.0889,0.3168,0.0889,0.139,0.1129,0.1094,0.1025
