Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.8333,0.0,0.8333,0.9167,0.869,0.7931,0.8003
0.6364,0.0,0.6364,0.4773,0.5411,0.5319,0.5568
0.8182,0.0,0.8182,0.7455,0.7778,0.7582,0.7674
0.7273,0.0,0.7273,0.7879,0.7532,0.6633,0.6704
0.8182,0.8786,0.8182,0.7,0.7475,0.7634,0.7814
0.5455,0.7175,0.5455,0.5303,0.5229,0.4388,0.4479
0.9091,0.95,0.9091,0.8636,0.8788,0.8854,0.8948
0.5455,0.7071,0.5455,0.5758,0.5584,0.4444,0.4583
0.5455,0.0,0.5455,0.5152,0.513,0.4271,0.4506
0.7273,0.0,0.7273,0.9091,0.7879,0.6633,0.6921
0.7106,0.3253,0.7106,0.7021,0.695,0.6369,0.652
0.1286,0.4038,0.1286,0.1597,0.1381,0.158,0.1555
