Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.5833,0.7341,0.5833,0.5417,0.5556,0.4872,0.4914
0.5455,0.0,0.5455,0.4848,0.4978,0.4271,0.4409
0.6364,0.0,0.6364,0.5,0.5515,0.5111,0.5442
0.7273,0.0,0.7273,0.9318,0.7273,0.6733,0.7391
0.7273,0.0,0.7273,0.7273,0.7273,0.6413,0.6484
0.7273,0.0,0.7273,0.7182,0.703,0.6292,0.6441
0.9091,0.0,0.9091,0.8364,0.8687,0.8736,0.8847
0.7273,0.8071,0.7273,0.6727,0.697,0.6452,0.6528
0.8182,0.9,0.8182,0.8485,0.8117,0.7778,0.8021
0.7273,0.8125,0.7273,0.5909,0.6364,0.6562,0.7133
0.7129,0.3254,0.7129,0.6852,0.6776,0.6322,0.6561
0.1006,0.4002,0.1006,0.1474,0.1119,0.1264,0.1303
