Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.5833,0.7341,0.5833,0.5417,0.5556,0.4872,0.4914
0.6364,0.0,0.6364,0.6727,0.6364,0.5269,0.5388
0.8182,0.0,0.8182,0.7727,0.7879,0.766,0.7742
0.7273,0.8286,0.7273,0.7424,0.7229,0.6667,0.6736
0.6364,0.0,0.6364,0.6727,0.6364,0.5217,0.5339
0.7273,0.0,0.7273,0.6848,0.6808,0.6374,0.6527
0.7273,0.0,0.7273,0.6591,0.6883,0.6333,0.6408
0.8182,0.0,0.8182,0.8182,0.8182,0.7634,0.7717
0.8182,0.0,0.8182,0.8182,0.8182,0.7634,0.7717
0.6364,0.0,0.6364,0.6545,0.6273,0.5464,0.5766
0.7129,0.1563,0.7129,0.7037,0.6972,0.6312,0.6425
0.0826,0.3132,0.0826,0.0809,0.0842,0.1026,0.1008
