Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.6667,0.0,0.6667,0.7222,0.6905,0.5897,0.6054
0.5455,0.0,0.5455,0.697,0.6078,0.433,0.4427
0.7273,0.0,0.7273,0.6727,0.697,0.625,0.6326
0.6364,0.0,0.6364,0.5455,0.5818,0.5056,0.5255
0.7273,0.0,0.7273,0.7273,0.7273,0.6562,0.6632
0.4545,0.6786,0.4545,0.5,0.4351,0.34,0.3542
0.7273,0.8286,0.7273,0.7,0.6869,0.6489,0.6637
0.6364,0.773,0.6364,0.6061,0.5848,0.5644,0.5938
0.5455,0.7071,0.5455,0.5455,0.5455,0.4271,0.4271
0.7273,0.0,0.7273,0.6591,0.6883,0.6489,0.6563
0.6394,0.2987,0.6394,0.6375,0.6245,0.5439,0.5564
0.0914,0.3677,0.0914,0.0782,0.086,0.1062,0.1068
