Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.8333,0.8819,0.8333,0.7708,0.7976,0.7857,0.7931
0.7273,0.0,0.7273,0.7879,0.7532,0.6562,0.6635
0.6364,0.0,0.6364,0.697,0.6623,0.5417,0.5533
0.6364,0.0,0.6364,0.6667,0.6303,0.5556,0.573
0.6364,0.0,0.6364,0.6515,0.632,0.551,0.5626
0.6364,0.0,0.6364,0.6364,0.626,0.551,0.5626
0.4545,0.0,0.4545,0.4545,0.4303,0.2826,0.3036
0.7273,0.0,0.7273,0.6818,0.697,0.6489,0.656
0.3636,0.0,0.3636,0.303,0.3273,0.172,0.174
0.8182,0.9,0.8182,0.8182,0.8182,0.7755,0.7755
0.647,0.1782,0.647,0.6468,0.6374,0.552,0.5617
0.1395,0.3564,0.1395,0.1497,0.1467,0.1849,0.1832
