Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.6667,0.7875,0.6667,0.6389,0.6405,0.5897,0.6
0.8182,0.0,0.8182,0.697,0.7455,0.7556,0.7941
0.5455,0.0,0.5455,0.4545,0.4909,0.3956,0.4204
0.8182,0.0,0.8182,0.9091,0.8571,0.7755,0.7839
0.5455,0.0,0.5455,0.7424,0.5866,0.45,0.4692
0.7273,0.0,0.7273,0.6727,0.697,0.6292,0.637
0.8182,0.0,0.8182,0.8182,0.8182,0.7609,0.7609
0.7273,0.0,0.7273,0.7273,0.7152,0.6633,0.6701
0.6364,0.0,0.6364,0.6364,0.6364,0.5319,0.5377
0.4545,0.6571,0.4545,0.5,0.4545,0.3196,0.3263
0.6758,0.1445,0.6758,0.6796,0.6642,0.5871,0.6
0.1228,0.2904,0.1228,0.1284,0.1235,0.1522,0.1523
