Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.6667,0.7625,0.6667,0.5238,0.5758,0.5556,0.5939
0.7273,0.823,0.7273,0.6212,0.6606,0.6526,0.667
0.7273,0.8071,0.7273,0.6727,0.697,0.6452,0.6528
0.5455,0.0,0.5455,0.5455,0.5455,0.4086,0.4176
0.8182,0.0,0.8182,0.75,0.7792,0.75,0.7591
0.9091,0.0,0.9091,0.8636,0.8788,0.8854,0.8948
0.7273,0.0,0.7273,0.9091,0.7212,0.6765,0.7194
0.6364,0.0,0.6364,0.6515,0.632,0.5556,0.5673
0.8182,0.0,0.8182,0.8788,0.8061,0.7556,0.7842
0.9091,0.0,0.9091,0.9545,0.9091,0.8842,0.8936
0.7485,0.2393,0.7485,0.7371,0.7205,0.6769,0.695
0.111,0.3658,0.111,0.1484,0.1162,0.1418,0.1407
