Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.8333,0.9091,0.8333,0.8611,0.8274,0.7949,0.8158
0.8182,0.0,0.8182,0.7455,0.7778,0.7528,0.7622
0.3636,0.0,0.3636,0.4091,0.3697,0.2736,0.3152
0.3636,0.0,0.3636,0.3636,0.3636,0.1895,0.1915
0.7273,0.0,0.7273,0.7576,0.6909,0.6598,0.6958
0.9091,0.0,0.9091,1.0,0.9394,0.883,0.8925
0.8182,0.0,0.8182,0.8182,0.8182,0.7609,0.7609
0.7273,0.8071,0.7273,0.6727,0.697,0.6452,0.6528
0.7273,0.8286,0.7273,0.6818,0.697,0.6562,0.6632
0.8182,0.8875,0.8182,0.75,0.7792,0.7708,0.7793
0.7106,0.3432,0.7106,0.706,0.696,0.6387,0.6529
0.1819,0.4212,0.1819,0.1834,0.1794,0.2157,0.2127
