Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.5,0.667,0.5,0.4389,0.4648,0.3571,0.3642
0.8182,0.0,0.8182,0.697,0.7455,0.7556,0.7941
0.7273,0.0,0.7273,0.6515,0.6545,0.6374,0.6774
0.6364,0.0,0.6364,0.7273,0.6667,0.5165,0.5222
1.0,0.0,1.0,1.0,1.0,1.0,1.0
0.7273,0.0,0.7273,0.7424,0.7229,0.6562,0.6704
0.8182,0.0,0.8182,0.9091,0.8571,0.7732,0.7981
0.8182,0.8786,0.8182,0.7727,0.7879,0.7708,0.779
0.4545,0.646,0.4545,0.3939,0.4069,0.3196,0.3335
0.6364,0.7694,0.6364,0.5273,0.5682,0.5417,0.5607
0.7136,0.2961,0.7136,0.686,0.6875,0.6328,0.65
0.1549,0.3673,0.1549,0.1827,0.1689,0.1963,0.1973
