Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.75,0.0,0.75,0.75,0.75,0.6949,0.7193
0.6364,0.0,0.6364,0.5758,0.6,0.5319,0.5377
0.7273,0.0,0.7273,0.697,0.7091,0.6452,0.6523
0.7273,0.0,0.7273,0.7727,0.7169,0.6598,0.6737
0.7273,0.0,0.7273,0.7879,0.7532,0.6526,0.6597
0.6364,0.0,0.6364,0.697,0.6623,0.5368,0.5427
0.5455,0.0,0.5455,0.5303,0.5281,0.4211,0.4256
0.6364,0.7875,0.6364,0.6818,0.6424,0.56,0.5714
0.6364,0.7571,0.6364,0.5364,0.5758,0.5269,0.5393
0.8182,0.0,0.8182,0.8182,0.8182,0.766,0.766
0.6841,0.1545,0.6841,0.6847,0.6756,0.5995,0.6088
0.075,0.309,0.075,0.0992,0.0857,0.0962,0.0974
