Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.75,0.8375,0.75,0.7222,0.7333,0.687,0.6931
0.8182,0.0,0.8182,0.8636,0.8182,0.7582,0.7667
0.6364,0.0,0.6364,0.697,0.6623,0.5319,0.5379
0.9091,0.0,0.9091,0.8364,0.8687,0.8764,0.8873
0.7273,0.0,0.7273,0.697,0.6909,0.625,0.6493
0.7273,0.0,0.7273,0.9091,0.7576,0.6765,0.7047
0.9091,0.0,0.9091,1.0,0.9481,0.8878,0.8973
0.7273,0.8286,0.7273,0.7273,0.7273,0.6562,0.6562
0.6364,0.7889,0.6364,0.6818,0.6061,0.56,0.5895
0.7273,0.8444,0.7273,0.7576,0.6758,0.6796,0.7071
0.7568,0.3299,0.7568,0.7892,0.7488,0.6939,0.7089
0.0909,0.4043,0.0909,0.1022,0.0981,0.1122,0.1099
