Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.8333,0.892,0.8333,0.7917,0.8056,0.7895,0.7965
0.6364,0.0,0.6364,0.6364,0.6364,0.5111,0.5111
0.8182,0.0,0.8182,0.9318,0.8485,0.7634,0.7803
0.6364,0.0,0.6364,0.5909,0.6104,0.5319,0.5379
0.7273,0.0,0.7273,0.6727,0.697,0.6413,0.6487
0.6364,0.0,0.6364,0.75,0.6424,0.5644,0.6064
0.9091,0.0,0.9091,1.0,0.9481,0.8878,0.8973
0.6364,0.7786,0.6364,0.6364,0.6364,0.5417,0.5474
0.7273,0.8286,0.7273,0.7424,0.7229,0.6667,0.6736
0.7273,0.8071,0.7273,0.6273,0.6667,0.6452,0.6603
0.7288,0.3306,0.7288,0.738,0.7214,0.6543,0.666
0.0925,0.4058,0.0925,0.1296,0.1055,0.1189,0.1192
