Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.8333,0.892,0.8333,0.7917,0.8056,0.7895,0.7965
0.8182,0.0,0.8182,0.697,0.7455,0.7442,0.7757
0.7273,0.0,0.7273,0.697,0.6926,0.6526,0.6667
0.7273,0.0,0.7273,0.7273,0.7273,0.67,0.6979
0.5455,0.0,0.5455,0.5455,0.5212,0.3956,0.4151
0.4545,0.0,0.4545,0.4545,0.4442,0.3265,0.3559
0.7273,0.0,0.7273,0.8333,0.7532,0.6667,0.6807
0.7273,0.0,0.7273,0.8485,0.7511,0.6633,0.6842
0.6364,0.0,0.6364,0.6667,0.6303,0.5556,0.573
0.7273,0.8444,0.7273,0.7121,0.6996,0.6633,0.6771
0.6924,0.1736,0.6924,0.6973,0.677,0.6127,0.6323
0.1109,0.3475,0.1109,0.1159,0.1079,0.1392,0.1368
