Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.75,0.842,0.75,0.75,0.75,0.6897,0.6897
0.7273,0.0,0.7273,0.7273,0.7273,0.6526,0.6596
0.8182,0.0,0.8182,0.7455,0.7778,0.7582,0.7674
0.7273,0.0,0.7273,0.7424,0.7229,0.6562,0.6704
0.6364,0.0,0.6364,0.7879,0.6987,0.5556,0.5734
0.5455,0.0,0.5455,0.4455,0.4892,0.3678,0.3778
0.8182,0.0,0.8182,0.8182,0.8182,0.7609,0.7609
0.9091,0.0,0.9091,0.9545,0.9177,0.8866,0.896
0.9091,0.0,0.9091,0.9545,0.9177,0.8866,0.896
0.4545,0.6514,0.4545,0.4727,0.4394,0.3196,0.3305
0.7295,0.1493,0.7295,0.7398,0.7259,0.6534,0.6622
0.141,0.3017,0.141,0.1609,0.1498,0.1831,0.1816
