Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.75,0.0,0.75,0.6875,0.7143,0.6727,0.6792
0.4545,0.0,0.4545,0.6818,0.5182,0.3465,0.3646
0.5455,0.0,0.5455,0.5,0.5195,0.3956,0.4092
0.7273,0.0,0.7273,0.7273,0.7273,0.6489,0.6704
0.8182,0.0,0.8182,0.9394,0.842,0.7755,0.8
0.7273,0.0,0.7273,0.7576,0.7121,0.6526,0.6741
0.5455,0.723,0.5455,0.5455,0.5351,0.4388,0.4479
0.9091,0.9286,0.9091,0.8364,0.8687,0.8817,0.8921
0.6364,0.7786,0.6364,0.6364,0.6364,0.5417,0.5474
0.7273,0.8286,0.7273,0.6818,0.697,0.6562,0.6632
0.6841,0.3259,0.6841,0.6994,0.677,0.601,0.6148
0.1311,0.402,0.1311,0.1219,0.1189,0.161,0.1617
