Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.75,0.8466,0.75,0.75,0.75,0.6842,0.6903
0.7273,0.0,0.7273,0.803,0.7333,0.67,0.6908
0.7273,0.0,0.7273,0.7879,0.7532,0.6452,0.6523
0.8182,0.0,0.8182,0.8182,0.8182,0.7556,0.7556
0.6364,0.0,0.6364,0.6667,0.6442,0.5464,0.5579
0.6364,0.0,0.6364,0.697,0.6623,0.551,0.557
0.8182,0.0,0.8182,0.8636,0.8268,0.7732,0.7814
0.5455,0.723,0.5455,0.5152,0.5108,0.4444,0.4536
0.6364,0.7571,0.6364,0.5818,0.6061,0.5269,0.5331
0.6364,0.7516,0.6364,0.4758,0.5394,0.5217,0.541
0.6932,0.3078,0.6932,0.6959,0.6844,0.6119,0.6213
0.0846,0.3782,0.0846,0.1269,0.1044,0.1038,0.1023
