Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.75,0.8295,0.75,0.6806,0.6833,0.6757,0.7034
0.7273,0.0,0.7273,0.6061,0.6545,0.6163,0.6423
0.6364,0.0,0.6364,0.6212,0.5909,0.551,0.5807
0.3636,0.0,0.3636,0.503,0.3615,0.23,0.2616
0.6364,0.0,0.6364,0.9091,0.6909,0.5728,0.6151
0.5455,0.0,0.5455,0.6061,0.5411,0.45,0.4641
0.8182,0.0,0.8182,0.8182,0.8182,0.766,0.766
0.7273,0.0,0.7273,0.7879,0.7229,0.6562,0.6775
0.7273,0.0,0.7273,0.7273,0.7273,0.6633,0.6915
0.7273,0.8375,0.7273,0.6591,0.6883,0.6633,0.6777
0.6659,0.1667,0.6659,0.6918,0.6479,0.5845,0.608
0.1237,0.3334,0.1237,0.1141,0.1193,0.1431,0.139
