Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.8333,0.0,0.8333,0.8333,0.8333,0.7857,0.7857
0.7273,0.0,0.7273,0.6818,0.697,0.6452,0.6594
0.8182,0.0,0.8182,0.8636,0.8268,0.7684,0.7768
0.6364,0.7571,0.6364,0.6727,0.6364,0.5319,0.544
0.6364,0.7571,0.6364,0.5909,0.6061,0.5417,0.5474
0.5455,0.7071,0.5455,0.5,0.5152,0.4271,0.4363
0.5455,0.7071,0.5455,0.5303,0.5281,0.4444,0.4536
0.5455,0.0,0.5455,0.5303,0.5091,0.4444,0.4634
0.7273,0.0,0.7273,0.7273,0.7273,0.6562,0.6775
0.8182,0.0,0.8182,0.7091,0.75,0.766,0.8018
0.6833,0.2929,0.6833,0.6639,0.6629,0.6011,0.6146
0.1114,0.359,0.1114,0.1196,0.1168,0.1349,0.1366
