Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.5833,0.0,0.5833,0.6528,0.5952,0.4915,0.5089
0.7273,0.0,0.7273,0.6182,0.6591,0.6526,0.6904
0.5455,0.0,0.5455,0.8636,0.6212,0.466,0.501
0.5455,0.0,0.5455,0.4621,0.4892,0.4149,0.4333
0.4545,0.0,0.4545,0.6061,0.497,0.3465,0.361
0.5455,0.7444,0.5455,0.4167,0.4545,0.486,0.5533
0.9091,0.95,0.9091,0.8636,0.8788,0.8854,0.8948
0.7273,0.8016,0.7273,0.5455,0.6182,0.6292,0.6644
0.4545,0.6357,0.4545,0.4545,0.4545,0.3125,0.3158
0.5455,0.0,0.5455,0.5909,0.5455,0.4554,0.4745
0.6038,0.3132,0.6038,0.6074,0.5813,0.514,0.5397
0.135,0.3902,0.135,0.1478,0.1211,0.16,0.1627
