Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.5,0.0,0.5,0.5556,0.5167,0.3684,0.375
0.7273,0.0,0.7273,0.8258,0.6762,0.6562,0.7
0.8182,0.0,0.8182,0.9091,0.8571,0.7684,0.7854
0.7273,0.8071,0.7273,0.6727,0.697,0.6452,0.6528
0.7273,0.8286,0.7273,0.7273,0.7273,0.6562,0.6562
0.7273,0.85,0.7273,0.8182,0.7662,0.6667,0.6736
0.8182,0.8571,0.8182,0.697,0.7455,0.7556,0.7858
0.9091,0.0,0.9091,0.9545,0.9177,0.8866,0.896
0.6364,0.0,0.6364,0.6515,0.6182,0.5556,0.573
0.8182,0.0,0.8182,0.7091,0.75,0.766,0.8018
0.7409,0.3343,0.7409,0.7521,0.7272,0.6725,0.69
0.1077,0.4096,0.1077,0.1166,0.1074,0.1335,0.1375
