Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.8333,0.892,0.8333,0.875,0.8389,0.7931,0.8
0.6364,0.0,0.6364,0.6515,0.632,0.5417,0.5533
0.8182,0.0,0.8182,0.7879,0.7758,0.7412,0.772
0.7273,0.0,0.7273,0.8182,0.7662,0.6526,0.6741
0.7273,0.0,0.7273,0.7879,0.7532,0.6633,0.6704
0.7273,0.0,0.7273,0.6727,0.697,0.6374,0.6451
0.7273,0.0,0.7273,0.7424,0.7229,0.6598,0.6668
0.6364,0.7764,0.6364,0.5606,0.5879,0.5556,0.5673
0.8182,0.8786,0.8182,0.7,0.7475,0.7634,0.7814
0.7273,0.8071,0.7273,0.6727,0.697,0.6452,0.6528
0.7379,0.3354,0.7379,0.7269,0.7218,0.6653,0.6783
0.0657,0.4119,0.0657,0.0882,0.0689,0.0777,0.0801
