Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.5,0.6625,0.5,0.425,0.4537,0.3514,0.3658
0.7273,0.0,0.7273,0.703,0.6909,0.6374,0.6527
0.7273,0.0,0.7273,0.6364,0.6667,0.6562,0.6775
0.8182,0.0,0.8182,0.8939,0.8208,0.7732,0.7895
0.7273,0.0,0.7273,0.7879,0.7532,0.6598,0.6668
0.9091,0.0,0.9091,0.8409,0.8701,0.883,0.8929
0.8182,0.0,0.8182,0.8182,0.8182,0.7609,0.7609
0.5455,0.0,0.5455,0.6061,0.5714,0.4211,0.4497
0.8182,0.0,0.8182,0.9545,0.8485,0.7778,0.8028
0.7273,0.85,0.7273,0.8485,0.7424,0.6765,0.7042
0.7318,0.1512,0.7318,0.7514,0.7236,0.6597,0.6763
0.1193,0.3054,0.1193,0.151,0.1253,0.1548,0.1523
