Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.75,0.842,0.75,0.7083,0.7222,0.6897,0.6957
0.8182,0.8786,0.8182,0.8182,0.8182,0.7708,0.7708
0.7273,0.8071,0.7273,0.6061,0.6545,0.6333,0.6587
0.7273,0.0,0.7273,0.8182,0.7636,0.6413,0.6484
0.7273,0.0,0.7273,0.7576,0.7273,0.6413,0.6556
0.5455,0.0,0.5455,0.6364,0.5758,0.45,0.4739
0.6364,0.0,0.6364,0.6364,0.6169,0.5417,0.5652
0.7273,0.0,0.7273,0.6818,0.697,0.6526,0.6596
0.6364,0.0,0.6364,0.5212,0.5697,0.5165,0.5289
0.2727,0.5333,0.2727,0.3636,0.303,0.102,0.1043
0.6568,0.3061,0.6568,0.6548,0.6448,0.5639,0.5761
0.1467,0.3847,0.1467,0.1316,0.137,0.1767,0.1769
