Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.75,0.8466,0.75,0.75,0.75,0.6842,0.6842
0.6364,0.7571,0.6364,0.5909,0.6061,0.5417,0.5474
0.7273,0.8071,0.7273,0.6273,0.6667,0.6452,0.6603
0.6364,0.0,0.6364,0.5212,0.5697,0.5165,0.5289
0.7273,0.0,0.7273,0.7879,0.7394,0.6489,0.656
0.5455,0.0,0.5455,0.5455,0.5455,0.4086,0.4131
0.8182,0.0,0.8182,0.7879,0.7758,0.7528,0.7825
0.7273,0.0,0.7273,0.8409,0.7489,0.6526,0.6741
0.7273,0.0,0.7273,0.7424,0.7229,0.6452,0.6523
0.7273,0.85,0.7273,0.7121,0.6879,0.67,0.6981
0.7023,0.3261,0.7023,0.6906,0.6813,0.6166,0.6297
0.0722,0.4001,0.0722,0.1058,0.0776,0.0943,0.0995
