Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.75,0.0,0.75,0.6444,0.6889,0.6786,0.698
0.8182,0.0,0.8182,0.8636,0.8268,0.7708,0.7874
0.8182,0.0,0.8182,0.8182,0.8182,0.7609,0.7609
0.7273,0.0,0.7273,0.8485,0.7424,0.6667,0.7023
0.6364,0.0,0.6364,0.6818,0.6424,0.5319,0.5435
0.6364,0.7786,0.6364,0.6591,0.6121,0.5686,0.6106
0.7273,0.8286,0.7273,0.7273,0.7078,0.6667,0.6875
0.6364,0.0,0.6364,0.6727,0.6364,0.5217,0.5278
0.5455,0.0,0.5455,0.4286,0.4711,0.3605,0.3936
0.7273,0.0,0.7273,0.6212,0.6649,0.6598,0.6815
0.7023,0.1607,0.7023,0.6965,0.6811,0.6186,0.6393
0.0829,0.3216,0.0829,0.1221,0.0986,0.118,0.1145
