Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.8333,0.892,0.8333,0.725,0.7685,0.7876,0.8026
0.7273,0.0,0.7273,0.7727,0.7455,0.6733,0.6801
0.7273,0.0,0.7273,0.7424,0.7229,0.6598,0.6668
0.8182,0.0,0.8182,0.697,0.7455,0.7442,0.7842
0.8182,0.0,0.8182,0.9545,0.8571,0.7684,0.7854
0.7273,0.0,0.7273,0.7424,0.7229,0.6562,0.6704
0.5455,0.0,0.5455,0.8182,0.6,0.4608,0.5109
0.7273,0.8286,0.7273,0.6545,0.6869,0.6452,0.6603
0.3636,0.6071,0.3636,0.4848,0.4069,0.23,0.2347
0.7273,0.8286,0.7273,0.6818,0.697,0.6562,0.6632
0.7015,0.3156,0.7015,0.7273,0.6953,0.6282,0.6459
0.1365,0.3926,0.1365,0.1138,0.1142,0.1581,0.1591
