Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.8333,0.892,0.8333,0.8333,0.8333,0.7895,0.7895
0.4545,0.0,0.4545,0.5303,0.4736,0.3196,0.3334
0.8182,0.0,0.8182,0.697,0.7455,0.7442,0.7842
0.6364,0.0,0.6364,0.6364,0.6364,0.5111,0.5111
0.6364,0.0,0.6364,0.5758,0.6,0.5319,0.5377
0.7273,0.0,0.7273,0.7727,0.7333,0.6765,0.6901
0.5455,0.0,0.5455,0.5455,0.5455,0.4712,0.5054
0.8182,0.9,0.8182,0.8485,0.8117,0.7778,0.8021
0.5455,0.75,0.5455,0.3788,0.4242,0.4907,0.5579
0.7273,0.8071,0.7273,0.6727,0.697,0.6452,0.6528
0.6742,0.3349,0.6742,0.6491,0.65,0.5958,0.6164
0.1252,0.4121,0.1252,0.1397,0.1318,0.1469,0.1458
