Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.75,0.8636,0.75,0.8194,0.7361,0.7049,0.7351
0.7273,0.0,0.7273,0.7879,0.7532,0.6633,0.6704
0.6364,0.0,0.6364,0.5818,0.6061,0.5056,0.5181
0.9091,0.0,0.9091,0.9545,0.9177,0.8842,0.8938
0.7273,0.0,0.7273,0.8455,0.6833,0.6598,0.7113
0.7273,0.0,0.7273,0.8409,0.755,0.6633,0.6771
0.5455,0.0,0.5455,0.5303,0.5281,0.4211,0.4349
0.5455,0.0,0.5455,0.4545,0.4909,0.382,0.3971
0.5455,0.0,0.5455,0.5455,0.5455,0.4211,0.4255
0.5455,0.696,0.5455,0.4394,0.4675,0.433,0.4518
0.6659,0.156,0.6659,0.68,0.6484,0.5738,0.5915
0.1168,0.3142,0.1168,0.1785,0.1372,0.1565,0.1596
