Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.6667,0.7966,0.6667,0.6667,0.6571,0.5932,0.6034
0.7273,0.0,0.7273,0.7879,0.7532,0.6598,0.6668
0.8182,0.0,0.8182,0.8636,0.8268,0.7708,0.7874
0.7273,0.0,0.7273,0.7197,0.7143,0.6374,0.6444
0.8182,0.0,0.8182,0.8182,0.8182,0.7556,0.7556
0.7273,0.0,0.7273,0.6818,0.7013,0.6526,0.6597
0.8182,0.0,0.8182,0.9394,0.842,0.7755,0.8
0.7273,0.8071,0.7273,0.6273,0.6667,0.6452,0.6603
0.6364,0.7786,0.6364,0.697,0.6623,0.5556,0.5613
0.5455,0.6857,0.5455,0.5091,0.5253,0.4086,0.4182
0.7212,0.3068,0.7212,0.7311,0.7167,0.6454,0.6557
0.0833,0.377,0.0833,0.1182,0.0924,0.1058,0.1079
