Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.6667,0.7795,0.6667,0.5139,0.5722,0.5676,0.5909
0.5455,0.7125,0.5455,0.6136,0.5628,0.4444,0.4538
0.6364,0.0,0.6364,0.8409,0.6364,0.5769,0.6383
0.9091,0.0,0.9091,0.8364,0.8687,0.8764,0.8873
0.8182,0.0,0.8182,0.8182,0.8182,0.7609,0.7609
0.5455,0.0,0.5455,0.6894,0.5156,0.4444,0.4835
0.6364,0.0,0.6364,0.8939,0.6515,0.5769,0.6255
0.5455,0.0,0.5455,0.5303,0.5091,0.466,0.5001
0.8182,0.0,0.8182,0.7455,0.7778,0.7582,0.7674
0.6364,0.0,0.6364,0.6212,0.6139,0.5417,0.5532
0.6758,0.1492,0.6758,0.7103,0.6526,0.6014,0.6261
0.1228,0.2988,0.1228,0.1297,0.1206,0.1411,0.1338
