Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.8333,0.9045,0.8333,0.7778,0.8,0.7913,0.7984
0.8182,0.0,0.8182,0.9394,0.8182,0.78,0.8125
0.8182,0.0,0.8182,0.8182,0.8182,0.7609,0.7609
0.7273,0.0,0.7273,0.7879,0.7532,0.6526,0.6597
0.7273,0.0,0.7273,0.7879,0.7532,0.6526,0.6597
0.6364,0.0,0.6364,0.7121,0.6303,0.5728,0.6147
0.7273,0.0,0.7273,0.6727,0.697,0.6413,0.6487
0.7273,0.0,0.7273,0.7455,0.7172,0.6452,0.6597
0.7273,0.0,0.7273,0.697,0.7091,0.6452,0.6523
0.5455,0.696,0.5455,0.4,0.4545,0.3956,0.416
0.7288,0.1601,0.7288,0.7338,0.7151,0.6537,0.6683
0.0831,0.3235,0.0831,0.132,0.1034,0.1095,0.1066
