Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.75,0.8636,0.75,0.7361,0.7163,0.6975,0.7218
0.7273,0.0,0.7273,0.6667,0.6909,0.6562,0.6775
0.8182,0.0,0.8182,0.7,0.7475,0.7634,0.7897
0.5455,0.0,0.5455,0.5758,0.5394,0.4554,0.4793
0.6364,0.0,0.6364,0.7424,0.6623,0.5556,0.5673
0.7273,0.0,0.7273,0.6727,0.697,0.6333,0.6484
0.8182,0.0,0.8182,0.7455,0.7778,0.7528,0.7622
0.8182,0.0,0.8182,0.697,0.7455,0.7442,0.7757
0.6364,0.0,0.6364,0.6364,0.6364,0.5217,0.5275
0.6364,0.8,0.6364,0.7879,0.6212,0.581,0.6226
0.7114,0.1664,0.7114,0.696,0.6834,0.6361,0.6572
0.0898,0.333,0.0898,0.0584,0.0674,0.1005,0.1025
