Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.6667,0.7795,0.6667,0.5611,0.6056,0.5789,0.5952
0.8182,0.0,0.8182,0.697,0.7455,0.7556,0.7941
0.4545,0.0,0.4545,0.4394,0.4182,0.3196,0.337
1.0,0.0,1.0,1.0,1.0,1.0,1.0
0.7273,0.0,0.7273,0.7273,0.7273,0.6413,0.6484
0.8182,0.0,0.8182,0.8409,0.8182,0.7582,0.7667
0.6364,0.0,0.6364,0.6061,0.6182,0.5056,0.5115
0.7273,0.8286,0.7273,0.6667,0.6818,0.6562,0.6778
0.7273,0.8286,0.7273,0.7273,0.697,0.6598,0.6737
0.8182,0.8875,0.8182,0.8409,0.8095,0.7778,0.7859
0.7394,0.3324,0.7394,0.7107,0.7121,0.6653,0.679
0.1357,0.4078,0.1357,0.1507,0.1458,0.1716,0.1698
