Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.6667,0.8011,0.6667,0.7639,0.696,0.5966,0.607
0.9091,0.0,0.9091,0.9545,0.9177,0.8842,0.8938
0.6364,0.0,0.6364,0.5455,0.5818,0.4884,0.509
0.8182,0.0,0.8182,0.6818,0.7403,0.7609,0.7795
0.9091,0.0,0.9091,0.9545,0.9177,0.8866,0.896
0.8182,0.0,0.8182,0.9394,0.8511,0.7755,0.7918
0.9091,0.0,0.9091,0.9394,0.9117,0.8854,0.8948
0.6364,0.0,0.6364,0.6364,0.6121,0.5056,0.5255
0.6364,0.0,0.6364,0.5758,0.5758,0.5,0.5276
0.8182,0.8944,0.8182,0.803,0.7905,0.7755,0.7917
0.7758,0.1696,0.7758,0.7794,0.7595,0.7059,0.7217
0.1135,0.3398,0.1135,0.1548,0.1319,0.1585,0.1542
