Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.6667,0.7795,0.6667,0.5694,0.6056,0.5897,0.6054
0.7273,0.0,0.7273,0.9091,0.7879,0.6765,0.7047
0.8182,0.0,0.8182,0.697,0.7455,0.7556,0.7941
0.5455,0.0,0.5455,0.5682,0.5368,0.4444,0.4634
0.6364,0.0,0.6364,0.6818,0.6364,0.56,0.5776
0.9091,0.0,0.9091,0.8364,0.8687,0.8764,0.8873
0.9091,0.0,0.9091,0.9545,0.9177,0.8842,0.8938
0.6364,0.0,0.6364,0.697,0.6623,0.5417,0.5533
0.7273,0.0,0.7273,0.6591,0.6883,0.6333,0.6408
0.9091,0.9286,0.9091,0.8364,0.8687,0.8817,0.8921
0.7485,0.1708,0.7485,0.7409,0.7318,0.6844,0.7013
0.125,0.3432,0.125,0.1286,0.1205,0.1503,0.1495
