Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.6667,0.0,0.6667,0.625,0.6389,0.5752,0.5804
0.8182,0.0,0.8182,0.8182,0.8182,0.7556,0.7556
0.9091,0.0,0.9091,1.0,0.9481,0.883,0.8929
0.5455,0.7125,0.5455,0.4727,0.5,0.4149,0.4298
0.8182,0.9,0.8182,0.8182,0.7965,0.7778,0.7939
0.8182,0.9,0.8182,0.8485,0.8117,0.7778,0.8021
0.6364,0.8,0.6364,0.8182,0.7056,0.56,0.5715
0.7273,0.0,0.7273,0.7879,0.7229,0.6562,0.6775
0.6364,0.0,0.6364,0.6364,0.6121,0.551,0.5685
0.6364,0.0,0.6364,0.4545,0.5152,0.4762,0.5721
0.7212,0.3312,0.7212,0.728,0.7069,0.6428,0.6644
0.1091,0.4087,0.1091,0.166,0.1353,0.1437,0.136
