Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.3333,0.5716,0.3333,0.2333,0.2619,0.1652,0.1782
0.5455,0.0,0.5455,0.6818,0.5636,0.4608,0.4897
0.6364,0.0,0.6364,0.6364,0.6364,0.551,0.5745
0.7273,0.0,0.7273,0.6727,0.697,0.6489,0.6707
0.5455,0.0,0.5455,0.5455,0.5455,0.4086,0.4131
0.8182,0.0,0.8182,0.8182,0.8182,0.7609,0.7609
0.7273,0.0,0.7273,0.8939,0.7485,0.67,0.7056
0.7273,0.0,0.7273,0.7,0.6929,0.6374,0.6521
0.9091,0.0,0.9091,0.9091,0.9091,0.8817,0.8913
0.5455,0.7071,0.5455,0.5455,0.5455,0.4271,0.4411
0.6515,0.1279,0.6515,0.6636,0.6418,0.5612,0.5777
0.157,0.2575,0.157,0.1878,0.1699,0.194,0.1938
