Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.8333,0.8875,0.8333,0.7778,0.8,0.7913,0.7984
0.4545,0.0,0.4545,0.5455,0.4848,0.3465,0.3574
0.6364,0.0,0.6364,0.7424,0.6623,0.56,0.5835
0.5455,0.0,0.5455,0.6061,0.5714,0.4271,0.4457
0.7273,0.0,0.7273,0.6742,0.684,0.6452,0.6594
0.7273,0.0,0.7273,0.7727,0.7333,0.6489,0.656
0.8182,0.0,0.8182,0.7955,0.7879,0.7634,0.7803
0.5455,0.0,0.5455,0.5091,0.5253,0.4149,0.4288
0.7273,0.0,0.7273,0.697,0.7091,0.6452,0.6523
0.7273,0.8125,0.7273,0.5909,0.6364,0.6562,0.7133
0.6742,0.17,0.6742,0.6711,0.6595,0.5899,0.6075
0.1184,0.3404,0.1184,0.0978,0.1008,0.1421,0.1434
