Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.6667,0.7966,0.6667,0.6667,0.6488,0.5966,0.6121
0.9091,0.0,0.9091,0.9394,0.9117,0.883,0.8925
0.5455,0.0,0.5455,0.6727,0.5671,0.4271,0.4609
0.7273,0.0,0.7273,0.8636,0.7576,0.6633,0.6846
0.9091,0.0,0.9091,0.8364,0.8687,0.8764,0.8873
0.6364,0.0,0.6364,0.6667,0.6212,0.551,0.5746
0.7273,0.0,0.7273,0.75,0.7117,0.6526,0.697
0.6364,0.7571,0.6364,0.6061,0.5939,0.5165,0.5363
0.8182,0.8786,0.8182,0.7,0.7475,0.7634,0.7814
0.6364,0.75,0.6364,0.4805,0.5273,0.5319,0.6155
0.7212,0.3182,0.7212,0.7182,0.6955,0.6462,0.6742
0.1164,0.3911,0.1164,0.1272,0.121,0.1458,0.1367
