Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.5833,0.7386,0.5833,0.625,0.5889,0.4828,0.4912
0.7273,0.0,0.7273,0.8485,0.6848,0.6765,0.7189
0.8182,0.0,0.8182,0.7455,0.7778,0.7582,0.7674
0.7273,0.0,0.7273,0.7424,0.7229,0.6598,0.6668
0.6364,0.0,0.6364,0.6727,0.6364,0.5319,0.5436
0.7273,0.0,0.7273,0.6667,0.6909,0.6452,0.6523
0.7273,0.0,0.7273,0.6545,0.6869,0.6413,0.6562
0.8182,0.8875,0.8182,0.8182,0.8182,0.7755,0.7755
0.7273,0.0,0.7273,0.6727,0.697,0.6292,0.637
0.7273,0.0,0.7273,0.6273,0.6667,0.6292,0.6447
0.722,0.1626,0.722,0.7073,0.697,0.643,0.6554
0.0673,0.3269,0.0673,0.0741,0.062,0.0841,0.0843
