Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.6667,0.7795,0.6667,0.575,0.6111,0.5789,0.5897
0.6364,0.0,0.6364,0.697,0.632,0.551,0.5626
0.7273,0.0,0.7273,0.703,0.6909,0.6374,0.6527
0.7273,0.0,0.7273,0.6818,0.7013,0.6667,0.6876
0.9091,0.0,0.9091,0.8364,0.8687,0.8791,0.8898
0.5455,0.0,0.5455,0.6818,0.5818,0.4554,0.4749
0.7273,0.0,0.7273,0.7424,0.7229,0.6562,0.6704
0.7273,0.0,0.7273,0.6727,0.697,0.6292,0.637
0.6364,0.0,0.6364,0.6591,0.6121,0.551,0.5934
0.6364,0.8,0.6364,0.803,0.6152,0.581,0.6226
0.6939,0.158,0.6939,0.7052,0.6733,0.6186,0.6381
0.0914,0.3159,0.0914,0.0703,0.0796,0.1053,0.102
