Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.75,0.0,0.75,0.8333,0.75,0.6975,0.722
0.8182,0.0,0.8182,0.697,0.7455,0.7442,0.7757
0.7273,0.0,0.7273,0.8409,0.7333,0.6633,0.7143
0.8182,0.875,0.8182,0.7091,0.75,0.766,0.7936
0.7273,0.8071,0.7273,0.6727,0.697,0.6452,0.6528
0.8182,0.0,0.8182,0.8636,0.8182,0.7684,0.7766
0.8182,0.0,0.8182,0.8636,0.8268,0.7732,0.7814
0.7273,0.0,0.7273,0.6061,0.6545,0.6374,0.6774
0.4545,0.0,0.4545,0.5455,0.4848,0.2979,0.3044
0.6364,0.0,0.6364,0.6364,0.626,0.5417,0.5532
0.7295,0.1682,0.7295,0.7268,0.7086,0.6535,0.6751
0.1078,0.3368,0.1078,0.1103,0.0956,0.1377,0.1422
