Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.5833,0.7295,0.5833,0.5278,0.55,0.4783,0.4825
0.4545,0.0,0.4545,0.5091,0.4646,0.2826,0.2859
0.7273,0.0,0.7273,0.75,0.7117,0.6667,0.7176
0.8182,0.0,0.8182,0.8636,0.8268,0.7684,0.7768
0.9091,0.0,0.9091,0.8364,0.8687,0.8764,0.8873
0.8182,0.0,0.8182,0.8788,0.7909,0.7556,0.7926
0.5455,0.0,0.5455,0.6288,0.5532,0.4388,0.4726
0.7273,0.0,0.7273,0.7879,0.7061,0.6667,0.7021
0.7273,0.0,0.7273,0.7182,0.697,0.6413,0.6562
0.8182,0.8875,0.8182,0.7045,0.7489,0.78,0.8045
0.7129,0.1617,0.7129,0.7205,0.6918,0.6355,0.6578
0.1356,0.3253,0.1356,0.1245,0.1242,0.1735,0.1776
