Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.8333,0.892,0.8333,0.725,0.7685,0.7838,0.799
0.9091,0.0,0.9091,0.8364,0.8687,0.8764,0.8873
0.7273,0.0,0.7273,0.7879,0.7532,0.6562,0.6635
0.5455,0.0,0.5455,0.4773,0.5065,0.466,0.5333
0.7273,0.0,0.7273,0.8182,0.7381,0.6562,0.6775
0.6364,0.0,0.6364,0.7424,0.6667,0.5644,0.5758
0.6364,0.0,0.6364,0.6364,0.6169,0.551,0.5685
0.8182,0.8786,0.8182,0.7727,0.7879,0.7708,0.779
0.5455,0.6857,0.5455,0.4545,0.4909,0.3889,0.4098
0.7273,0.8286,0.7273,0.6818,0.697,0.6562,0.6632
0.7106,0.3285,0.7106,0.6933,0.6894,0.637,0.6557
0.1151,0.4056,0.1151,0.1272,0.1154,0.1419,0.1339
