Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.75,0.842,0.75,0.7083,0.7222,0.6897,0.6957
0.7273,0.0,0.7273,0.6848,0.6717,0.6489,0.6865
0.6364,0.0,0.6364,0.5818,0.6061,0.5269,0.5388
0.8182,0.0,0.8182,0.7455,0.7778,0.7582,0.7674
0.7273,0.0,0.7273,0.7879,0.7532,0.6526,0.6597
0.6364,0.0,0.6364,0.6515,0.632,0.5464,0.5699
0.8182,0.0,0.8182,0.8182,0.8182,0.7609,0.7609
0.6364,0.7625,0.6364,0.5636,0.5909,0.5319,0.5511
0.7273,0.0,0.7273,0.6727,0.697,0.6374,0.6451
0.8182,0.0,0.8182,0.7727,0.7879,0.766,0.7742
0.7295,0.1605,0.7295,0.6987,0.7057,0.6519,0.6649
0.0707,0.3214,0.0707,0.0806,0.0754,0.0889,0.0845
