Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.6667,0.7625,0.6667,0.5833,0.6167,0.5676,0.5849
0.5455,0.0,0.5455,0.5091,0.5253,0.4086,0.4178
0.5455,0.0,0.5455,0.5091,0.5253,0.3956,0.4004
0.7273,0.0,0.7273,0.7197,0.7143,0.6489,0.663
0.6364,0.0,0.6364,0.7197,0.6442,0.5464,0.5825
0.8182,0.0,0.8182,0.8182,0.8182,0.7609,0.7609
0.7273,0.0,0.7273,0.8939,0.7061,0.6733,0.7236
0.6364,0.0,0.6364,0.6364,0.6364,0.5368,0.5426
0.7273,0.0,0.7273,0.7273,0.7273,0.6526,0.6596
0.5455,0.7069,0.5455,0.4727,0.5,0.433,0.4477
0.6576,0.1469,0.6576,0.6589,0.6413,0.5624,0.5783
0.0889,0.2942,0.0889,0.1336,0.0978,0.1168,0.12
