Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.5833,0.7386,0.5833,0.5833,0.5833,0.4737,0.4779
0.5455,0.0,0.5455,0.6364,0.5515,0.45,0.4692
0.4545,0.0,0.4545,0.4848,0.4675,0.3196,0.3299
0.8182,0.0,0.8182,0.8182,0.8182,0.766,0.766
0.6364,0.0,0.6364,0.9091,0.6909,0.581,0.623
0.8182,0.0,0.8182,0.697,0.7455,0.7556,0.7941
0.6364,0.0,0.6364,0.6273,0.6061,0.5269,0.5388
0.6364,0.0,0.6364,0.6364,0.626,0.5464,0.5579
0.7273,0.0,0.7273,0.7182,0.697,0.6413,0.6562
0.7273,0.825,0.7273,0.6591,0.6883,0.6562,0.6635
0.6583,0.1564,0.6583,0.677,0.6474,0.5717,0.5876
0.1104,0.3133,0.1104,0.113,0.0962,0.132,0.1349
