Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.6667,0.0,0.6667,0.7083,0.6667,0.5752,0.5804
0.8182,0.0,0.8182,0.7727,0.7879,0.7609,0.7693
0.9091,0.0,0.9091,0.9545,0.9177,0.8842,0.8938
0.8182,0.0,0.8182,0.7091,0.75,0.766,0.8018
0.5455,0.0,0.5455,0.6515,0.5714,0.4444,0.4538
0.8182,0.0,0.8182,0.9273,0.8384,0.766,0.7828
0.6364,0.0,0.6364,0.7727,0.6667,0.5644,0.5821
0.6364,0.7302,0.6364,0.4199,0.5008,0.4884,0.5444
0.6364,0.7675,0.6364,0.6061,0.6017,0.5464,0.564
0.8182,0.0,0.8182,0.7727,0.7879,0.766,0.7742
0.7303,0.1498,0.7303,0.7295,0.7089,0.6562,0.6747
0.1129,0.2996,0.1129,0.1461,0.1232,0.1411,0.1379
