Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.75,0.8466,0.75,0.7083,0.7222,0.6842,0.6903
0.6364,0.0,0.6364,0.8485,0.6455,0.5644,0.6065
0.8182,0.0,0.8182,0.9091,0.8545,0.766,0.7828
0.7273,0.0,0.7273,0.7879,0.7532,0.6452,0.6523
0.6364,0.0,0.6364,0.6364,0.6364,0.5319,0.5319
0.6364,0.0,0.6364,0.5455,0.5818,0.5056,0.5255
0.7273,0.0,0.7273,0.6061,0.6545,0.6292,0.654
0.6364,0.75,0.6364,0.4805,0.5273,0.5319,0.6155
0.9091,0.9286,0.9091,0.8364,0.8687,0.8817,0.8921
0.4545,0.6087,0.4545,0.3377,0.3802,0.2414,0.2638
0.6932,0.3134,0.6932,0.6696,0.6624,0.5981,0.6215
0.1173,0.3911,0.1173,0.173,0.1403,0.1628,0.1586
