Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.8333,0.0,0.8333,0.875,0.8333,0.7913,0.7982
0.7273,0.0,0.7273,0.6273,0.6667,0.6374,0.6527
0.7273,0.8286,0.7273,0.7273,0.7273,0.6562,0.6632
0.9091,0.9286,0.9091,0.8364,0.8687,0.8817,0.8921
0.6364,0.0,0.6364,0.9091,0.6909,0.5686,0.6108
0.5455,0.0,0.5455,0.5758,0.5303,0.4444,0.4682
0.7273,0.0,0.7273,0.8712,0.6974,0.6667,0.7174
0.7273,0.0,0.7273,0.6818,0.697,0.6562,0.6632
0.7273,0.0,0.7273,0.6727,0.697,0.6413,0.6487
0.7273,0.0,0.7273,0.7636,0.7273,0.6452,0.6597
0.7288,0.1757,0.7288,0.754,0.7136,0.6589,0.6774
0.0925,0.3521,0.0925,0.1094,0.0871,0.1106,0.1061
