Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.8333,0.892,0.8333,0.7917,0.8056,0.7895,0.7965
0.8182,0.0,0.8182,0.7727,0.7879,0.7609,0.7693
0.8182,0.0,0.8182,0.8864,0.8095,0.7708,0.7957
0.8182,0.0,0.8182,0.7091,0.75,0.766,0.8018
0.7273,0.0,0.7273,0.6727,0.697,0.6413,0.6487
0.6364,0.0,0.6364,0.6667,0.6442,0.5417,0.5474
0.4545,0.0,0.4545,0.5606,0.4805,0.34,0.3542
0.7273,0.0,0.7273,0.6121,0.6606,0.6333,0.6492
0.8182,0.0,0.8182,0.7455,0.7778,0.7609,0.7785
0.7273,0.823,0.7273,0.6212,0.6606,0.6526,0.667
0.7379,0.1715,0.7379,0.7039,0.7074,0.6657,0.6808
0.1122,0.3434,0.1122,0.0925,0.0966,0.1333,0.1361
