Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.6667,0.767,0.6667,0.5238,0.5758,0.5596,0.6038
0.9091,0.0,0.9091,0.9273,0.899,0.8804,0.8906
0.7273,0.0,0.7273,0.9091,0.7879,0.6667,0.6881
1.0,0.0,1.0,1.0,1.0,1.0,1.0
0.7273,0.0,0.7273,0.8182,0.7636,0.6489,0.656
0.7273,0.0,0.7273,0.9394,0.7576,0.6765,0.7114
0.8182,0.0,0.8182,0.8182,0.8182,0.766,0.766
0.7273,0.85,0.7273,0.7273,0.7056,0.6667,0.6804
0.5455,0.0,0.5455,0.4545,0.4909,0.375,0.3904
0.5455,0.0,0.5455,0.7121,0.5333,0.4608,0.4897
0.7394,0.1617,0.7394,0.783,0.7332,0.6701,0.6876
0.1357,0.3239,0.1357,0.1714,0.1532,0.1749,0.1677
