Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.3333,0.6057,0.3333,0.1944,0.2444,0.2258,0.2393
0.7273,0.0,0.7273,0.6727,0.697,0.6374,0.6451
0.5455,0.0,0.5455,0.5758,0.5584,0.4271,0.4316
0.9091,0.0,0.9091,0.9545,0.9177,0.8866,0.896
0.8182,0.0,0.8182,0.7909,0.7778,0.7609,0.7785
0.8182,0.0,0.8182,0.9091,0.8182,0.7755,0.8004
0.7273,0.0,0.7273,0.7273,0.7078,0.6526,0.6739
0.7273,0.0,0.7273,0.7273,0.7273,0.6452,0.6522
0.7273,0.0,0.7273,0.7424,0.6697,0.6333,0.6729
0.6364,0.7764,0.6364,0.697,0.6485,0.56,0.5657
0.697,0.1382,0.697,0.6991,0.6767,0.6204,0.6356
0.1539,0.279,0.1539,0.1979,0.1714,0.1771,0.1795
