Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.5,0.0,0.5,0.5694,0.5119,0.3846,0.3948
0.9091,0.0,0.9091,0.8364,0.8687,0.8764,0.8873
0.8182,0.0,0.8182,0.9091,0.8329,0.7732,0.7899
0.6364,0.0,0.6364,0.9091,0.6909,0.5849,0.6395
0.6364,0.0,0.6364,0.5455,0.5818,0.5056,0.5255
0.8182,0.0,0.8182,0.9091,0.8485,0.7708,0.779
0.8182,0.0,0.8182,0.8182,0.8182,0.766,0.766
0.7273,0.8016,0.7273,0.6121,0.6606,0.6413,0.657
0.5455,0.723,0.5455,0.4773,0.4805,0.4388,0.4732
0.8182,0.0,0.8182,0.8182,0.8182,0.7732,0.7812
0.7227,0.1525,0.7227,0.7404,0.7112,0.6515,0.6693
0.1293,0.3054,0.1293,0.1611,0.1393,0.1581,0.1521
