Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.6667,0.775,0.6667,0.6389,0.65,0.5826,0.5878
0.8182,0.0,0.8182,0.7,0.7475,0.7528,0.7799
0.7273,0.0,0.7273,0.6727,0.697,0.625,0.6326
0.6364,0.0,0.6364,0.6364,0.6061,0.551,0.5687
0.7273,0.0,0.7273,0.8182,0.7636,0.6489,0.656
0.6364,0.0,0.6364,0.7424,0.6623,0.551,0.5626
0.9091,0.0,0.9091,0.8636,0.8788,0.883,0.8925
0.8182,0.8786,0.8182,0.8182,0.8182,0.7708,0.7708
0.6364,0.7675,0.6364,0.6061,0.6182,0.5368,0.5427
0.9091,0.9375,0.9091,0.9318,0.9004,0.8889,0.8981
0.7485,0.3359,0.7485,0.7428,0.7342,0.6791,0.6892
0.1033,0.4138,0.1033,0.1045,0.1001,0.1287,0.129
