Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.75,0.8365,0.75,0.6458,0.6865,0.6786,0.6914
0.8182,0.0,0.8182,0.8182,0.8182,0.7609,0.7609
0.7273,0.0,0.7273,0.6788,0.6851,0.6374,0.6598
0.7273,0.0,0.7273,0.8182,0.7455,0.67,0.6838
0.3636,0.0,0.3636,0.3333,0.3403,0.23,0.2473
0.8182,0.0,0.8182,0.9091,0.8485,0.7708,0.779
1.0,0.0,1.0,1.0,1.0,1.0,1.0
0.5455,0.7286,0.5455,0.6061,0.5411,0.45,0.4593
0.7273,0.0,0.7273,0.8409,0.742,0.6633,0.7067
0.6364,0.0,0.6364,0.6061,0.5939,0.5056,0.5255
0.7114,0.1565,0.7114,0.7256,0.7001,0.6367,0.6514
0.162,0.3139,0.162,0.1818,0.1721,0.1966,0.1928
