Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.6667,0.0,0.6667,0.6597,0.6548,0.5752,0.5856
0.7273,0.0,0.7273,0.7273,0.7273,0.6413,0.6413
0.6364,0.0,0.6364,0.7273,0.6532,0.551,0.5746
0.5455,0.725,0.5455,0.5,0.5152,0.4388,0.4433
0.4545,0.6944,0.4545,0.6667,0.4727,0.3654,0.4043
1.0,0.0,1.0,1.0,1.0,1.0,1.0
0.6364,0.0,0.6364,0.5364,0.5758,0.5217,0.5339
0.9091,0.0,0.9091,0.9273,0.899,0.8804,0.8906
0.5455,0.0,0.5455,0.6667,0.5697,0.45,0.4641
0.5455,0.0,0.5455,0.5455,0.5455,0.4388,0.4574
0.6667,0.1419,0.6667,0.6957,0.6613,0.5863,0.5995
0.1626,0.284,0.1626,0.1541,0.1618,0.1942,0.1879
