Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.5,0.667,0.5,0.3694,0.4204,0.3628,0.3733
0.8182,0.0,0.8182,1.0,0.8874,0.7708,0.7961
0.7273,0.0,0.7273,0.7424,0.7229,0.6452,0.6523
0.9091,0.0,0.9091,1.0,0.9455,0.8889,0.8981
0.7273,0.0,0.7273,0.6136,0.658,0.6333,0.6484
0.8182,0.0,0.8182,0.7879,0.7758,0.7528,0.7825
0.8182,0.0,0.8182,0.9091,0.8268,0.7755,0.7918
0.8182,0.8786,0.8182,0.7455,0.7778,0.7634,0.7725
0.6364,0.7786,0.6364,0.6288,0.6078,0.5556,0.5917
0.6364,0.7786,0.6364,0.6515,0.632,0.5556,0.567
0.7409,0.3103,0.7409,0.7448,0.7254,0.6704,0.6874
0.1151,0.3829,0.1151,0.1842,0.145,0.144,0.1444
