Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.6667,0.0,0.6667,0.75,0.7,0.5826,0.5929
0.7273,0.0,0.7273,0.8409,0.7489,0.6562,0.6775
0.7273,0.0,0.7273,0.6818,0.697,0.6413,0.6484
0.9091,0.0,0.9091,0.9545,0.9177,0.8866,0.896
0.5455,0.0,0.5455,0.5818,0.5368,0.433,0.4671
0.7273,0.0,0.7273,0.6667,0.6909,0.6452,0.6523
0.6364,0.0,0.6364,0.6364,0.6364,0.5319,0.5319
0.7273,0.85,0.7273,0.7273,0.7056,0.6667,0.6804
0.8182,0.9,0.8182,0.9091,0.8182,0.7843,0.8085
0.8182,0.0,0.8182,0.7955,0.7792,0.7684,0.7854
0.7303,0.175,0.7303,0.7544,0.7231,0.6596,0.674
0.0972,0.3502,0.0972,0.1143,0.0977,0.1237,0.1227
