Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.6667,0.7795,0.6667,0.5611,0.6056,0.5714,0.5827
0.4545,0.0,0.4545,0.4303,0.4095,0.3333,0.3637
0.7273,0.0,0.7273,0.6727,0.697,0.6413,0.6487
0.7273,0.0,0.7273,0.6727,0.697,0.6413,0.6487
0.7273,0.0,0.7273,0.6545,0.6869,0.6526,0.6896
0.6364,0.0,0.6364,0.803,0.6152,0.5686,0.6172
0.6364,0.0,0.6364,0.6364,0.6169,0.5368,0.5543
0.8182,0.0,0.8182,0.7455,0.7778,0.7528,0.7622
0.8182,0.0,0.8182,0.7727,0.7879,0.7609,0.7693
0.9091,0.95,0.9091,0.8636,0.8788,0.8854,0.8948
0.7121,0.173,0.7121,0.6813,0.6772,0.6345,0.6531
0.1191,0.348,0.1191,0.1187,0.1217,0.1421,0.136
