Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.5833,0.725,0.5833,0.5278,0.5452,0.4872,0.4957
0.6364,0.0,0.6364,0.8636,0.6606,0.5686,0.6106
0.8182,0.0,0.8182,0.9091,0.8571,0.7778,0.8023
0.7273,0.0,0.7273,0.6636,0.6652,0.6562,0.6934
0.7273,0.0,0.7273,0.8182,0.7662,0.6562,0.6704
0.8182,0.0,0.8182,0.8182,0.8182,0.7609,0.7609
0.9091,0.0,0.9091,0.9091,0.9091,0.8817,0.8913
0.7273,0.0,0.7273,0.7273,0.7273,0.6526,0.6596
0.8182,0.0,0.8182,0.8636,0.8268,0.7755,0.7918
0.4545,0.6246,0.4545,0.3333,0.3818,0.2584,0.2729
0.722,0.135,0.722,0.7434,0.7158,0.6475,0.6649
0.1269,0.2709,0.1269,0.1778,0.1514,0.1687,0.1678
