Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.5833,0.0,0.5833,0.5417,0.5556,0.4643,0.4685
0.5455,0.7069,0.5455,0.4727,0.5,0.433,0.4477
0.4545,0.0,0.4545,0.4182,0.4343,0.3053,0.3225
0.6364,0.0,0.6364,0.5212,0.5697,0.5269,0.5514
0.9091,0.9286,0.9091,0.8364,0.8687,0.8817,0.8921
0.9091,0.0,0.9091,0.9545,0.9177,0.8866,0.896
0.8182,0.0,0.8182,0.803,0.7905,0.7708,0.7872
0.6364,0.0,0.6364,0.5682,0.5974,0.5111,0.5233
0.9091,0.0,0.9091,0.8364,0.8687,0.8764,0.8873
0.7273,0.0,0.7273,0.8939,0.7485,0.67,0.7056
0.7129,0.1636,0.7129,0.6846,0.6851,0.6326,0.6482
0.1581,0.3308,0.1581,0.188,0.1648,0.2019,0.2011
