Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC
0.75,0.8295,0.75,0.7,0.7222,0.6814,0.6879
0.8182,0.0,0.8182,0.6848,0.7414,0.7556,0.7745
0.9091,0.0,0.9091,0.8364,0.8687,0.8764,0.8873
0.6364,0.0,0.6364,0.7576,0.6515,0.56,0.6022
0.7273,0.0,0.7273,0.7879,0.7532,0.6562,0.6635
0.8182,0.0,0.8182,0.9394,0.8333,0.7755,0.8087
0.6364,0.0,0.6364,0.6364,0.6364,0.5368,0.5426
0.6364,0.0,0.6364,0.6364,0.626,0.5417,0.5474
0.5455,0.0,0.5455,0.4909,0.5152,0.4211,0.4449
0.9091,0.9375,0.9091,0.8409,0.8701,0.8878,0.8973
0.7386,0.1767,0.7386,0.7311,0.7218,0.6692,0.6856
0.1182,0.3542,0.1182,0.1221,0.1102,0.1473,0.1461
